epoch,loss,acc
1,0.002822124573286615,0
2,0.001685936506382562,0
3,0.0014293365351407536,0
4,0.001319589582349225,0
5,0.0012410439748046197,0
6,0.0011818262238981133,0
7,0.0011330920340126005,0
8,0.0010905325375654411,0
9,0.0010500423496375845,0
10,0.0010137215144750383,0
11,0.0009793532783311917,0
12,0.0009447428043048247,0
13,0.0009131978769257477,0
14,0.0008838655375879248,0
15,0.0008542664658842404,0
16,0.0008282996449937948,0
17,0.0008023052506658295,0
18,0.0007758533278222248,0
19,0.0007493324396443715,0
20,0.0007259998819265243,0
21,0.0007031964265226303,0
22,0.0006820600641449753,0
23,0.0006597503621218272,0
24,0.0006391837018804381,0
25,0.0006196466234353296,0
26,0.0006017909297087842,0
27,0.0005856532611959863,0
28,0.0005684858982932159,0
29,0.0005536930824038559,0
30,0.0005403256253255877,0
31,0.0005249242050038883,0
32,0.0005116820755459312,0
33,0.0004970117177051723,0
34,0.00048342314007006787,0
35,0.0004664304997185531,0
36,0.00045651016199426076,0
37,0.0004464063870714663,0
38,0.0004353801695198144,0
39,0.00042388492596467003,0
40,0.0004083048692200449,0
41,0.00040029464807859056,0
42,0.0003908874073835352,0
43,0.00038157965797510723,0
44,0.0003677492808152894,0
45,0.0003592360359920553,0
46,0.00035046325996632426,0
47,0.0003395605784629695,0
48,0.00032435779156958527,0
49,0.0003144116388678372,0
50,0.00030649998311929334,0
51,0.00029931021640474233,0
52,0.0002918673454714637,0
53,0.0002886909978800051,0
54,0.00028242382805550645,0
55,0.00027823961070235924,0
56,0.000272461974934096,0
57,0.00026727723925993593,0
58,0.0002651325166745298,0
59,0.00026118011471150583,0
60,0.00025597168831883316,0
61,0.0002535130647091065,0
62,0.0002481651292463459,0
63,0.0002468476369553138,0
64,0.00024552189319247724,0
65,0.00023881521885574009,0
66,0.0002362749858491713,0
67,0.0002313318229449115,0
68,0.00023011597232327642,0
69,0.00022664009050582233,0
70,0.00022387803349308222,0
71,0.0002249624434537205,0
72,0.00022017145516898927,0
73,0.00021633801549473755,0
74,0.0002122190203233742,0
75,0.00021180263454846944,0
76,0.00021006585693373169,0
77,0.00020718347161733725,0
78,0.00020490345863325782,0
79,0.00020407612900303384,0
80,0.00020426854914047955,0
81,0.00020154300050167186,0
82,0.00019966676397459285,0
83,0.0001968301527614951,0
84,0.0001959990970246031,0
85,0.00019307514164698385,0
86,0.00019107368362763835,0
87,0.000191455089076526,0
88,0.00018812065504362604,0
89,0.00018675257873038178,0
90,0.0001867161591774591,0
91,0.0001866790655645059,0
92,0.00018618523472661483,0
93,0.00018437067531276857,0
94,0.00018266278215977816,0
95,0.00018354002260120823,0
96,0.00018172157916216335,0
97,0.00018113226952675974,0
98,0.00018179269161370325,0
99,0.0001794129266925186,0
100,0.00017791249531904418,0
